Autor del libro|título del libro|link para descarga
|Fedón o del alma|https://drive.google.com/file/d/1WqdA8Px3bLb5xpCcEdV0DyW7jIqkZpb3/view?usp=drive_link
|Berenice|https://drive.google.com/file/d/1mShq_4UD_3ieeYrWzlMZwv2U9UE-_AqD/view?usp=drive_link
|El camelo del globo|https://drive.google.com/file/d/1_g06MsqFASoFyWrcEA3IefOdi5VN2IuJ/view?usp=drive_link
|El corazón delator|https://drive.google.com/file/d/1T__laIzK4WqV64oN9RglIgNj9MAETL95/view?usp=drive_link
|El cuervo|https://drive.google.com/file/d/10_v2l-1n4lH_XobbnAip9k7pKuG8pl76/view?usp=drive_link
|El entierro prematuro|https://drive.google.com/file/d/1bBW6WFK0ioBMdoJ7dXkB_8TY1PxSUEpR/view?usp=drive_link
|El escarabajo de oro|https://drive.google.com/file/d/13GiSQyHWHrIPQUathpHKLh43tzUSv9V1/view?usp=drive_link
|El gato negro|https://drive.google.com/file/d/1ghGTci0MpP9Z1LA12YKBq75DWI7fmu9P/view?usp=drive_link
|El retrato oval|https://drive.google.com/file/d/1MxF4FKijTgvfhZOPQzKFsHZzTfoPmPkT/view?usp=drive_link
|El tonel de amontillado|https://drive.google.com/file/d/1NvPUnX8mv5P32SZOx_AD6FgMl-TUaJRP/view?usp=drive_link
|La caída de la casa de Usher|https://drive.google.com/file/d/1fwYEr89j8iS57r-48d8q8z_ZnlIz6pLh/view?usp=drive_link
|Ligeia|https://drive.google.com/file/d/1SFuTqKFvnWLWFO7npb1C7fUHaVzwvUm5/view?usp=drive_link
|Los crímenes de la calle Morgue|https://drive.google.com/file/d/1ub8BgFsdQjrLaCF7GeW5czMx0RG3Q9N-/view?usp=drive_linkf
|Metzengerstein|https://drive.google.com/file/d/1zp1ho3qICJPfTfYgLFk_tfLvSB05UaYW/view?usp=drive_link
|William Wilson|https://drive.google.com/file/d/1VuoyuWgLrV1JTlwN6-CiniT4KkpEVqer/view?usp=drive_link
|El fabricante de ataúdes|https://drive.google.com/file/d/1m90i63rj-o4_vW1q86WRYVTe1xaeJi7P/view?usp=drive_link
|El cuento de Omar y Dilaram|https://drive.google.com/file/d/1VHK1Cl1mFHCXfkJBt-xqAAirVnCrb5SQ/view?usp=drive_link
|Una temporada en el infierno|https://drive.google.com/file/d/1I6rhncTvAjE-ek5pU_sMslYGQ9Al3iUf/view?usp=drive_link
|El contrato social|https://drive.google.com/file/d/1fIjjMG9TDqhhxdsgRz9Gmf4Q9rjQbafT/view?usp=drive_link
|El principito|https://drive.google.com/file/d/1yUuxS8x4zJGlH1Uf-EOD4rAoOlU3zhqF/view?usp=drive_link
|El mortal inmortal|https://drive.google.com/file/d/14FniFQzD7GA6JY7JwKJRX427LZ2whGVO/view?usp=drive_link
|La nube de lluvia|https://drive.google.com/file/d/1Ybcj-UHUu2vihwWEGi2mR17QGK5Sgf6U/view?usp=drive_link
|El extraño caso del Dr. Jekyll y Mr. Hyde|https://drive.google.com/file/d/1FJZA4RjiL1wRDOq0l7X1uYrc58OVXy5Q/view?usp=drive_link
|Markheim|https://drive.google.com/file/d/18RwP6FpwXRhDPaVqQ2lk0pb6iOxGJt7H/view?usp=drive_link
|Olalla|https://drive.google.com/file/d/1V48Qa74qpMLQgq9yIBsA65Y4EPWWatqu/view?usp=drive_link
|Drácula|https://drive.google.com/file/d/1EfdxZG1aq2ew9UB2coUJ-1Xt7VVNE4Oo/view?usp=drive_link
|La casa del juez|https://drive.google.com/file/d/1-phpMbKQLhMuUbcm1CLO96JVdS8lIuMp/view?usp=drive_link
|El jardinero|https://drive.google.com/file/d/1_rBkIloYIwECwFVRVg7NJOXp3scWb9eo/view?usp=drive_link
|Los elfos|https://drive.google.com/file/d/1vovEtc_cPE7UMH_sv5Ci_ZD6fF7gXRyh/view?usp=drive_link
|El origen del mal|https://drive.google.com/file/d/1KUV3aO5iY1Ar-bGZ8p_W71Pit0M7eGzs/view?usp=drive_link
|La muerte de Iván Ilich|https://drive.google.com/file/d/1EB3u4Vg-TlNvruXolwap6l4QrdqNiRNr/view?usp=drive_link
|Demetrio Rudin|https://drive.google.com/file/d/1U2zTW9pLG5P9rBY3-qW9zUTPa4LPuncV/view?usp=drive_link
|De la Tierra a la Luna|https://drive.google.com/file/d/1QFno5G8ifvLQpHd5US5EEE-r5raTNE-F/view?usp=drive_link
|El castillo de los Cárpatos|https://drive.google.com/file/d/1hpsVZ_3SBETwyJS3TBKWHNEUXyJmKX1V/view?usp=drive_link
|El eterno Adán|https://drive.google.com/file/d/1832u4EvX_mUWUXsSQzIDNfa-LosVLpm7/view?usp=drive_link
|Cándido o el optimismo|https://drive.google.com/file/d/1iw_fg3loRHZozeJv9yo0NTZq2gx3bado/view?usp=drive_link
|Un maravilloso cuento oriental de un santo desnudo|https://drive.google.com/file/d/1SdMCkgX1SkK0qhosBJX8MPzZOtnBOXIr/view?usp=drive_link
|El fantasma de Canterville|https://drive.google.com/file/d/19b5TvslCEKkCjxr_vqYTBPAWXi_bg0cO/view?usp=drive_link
|Una partida de ajedrez|https://drive.google.com/file/d/1PpcJphYhERP3N39kmBK4DulnhBpMTvax/view?usp=drive_link
Francisco Valverde|Un Angel Me Acompaña|https://drive.google.com/file/d/0B_yJXv2pEPBwRTBiMng3WFUxR2s/view?usp=drivesdk&resourcekey=0-nXHOvzdLNeJGWNRwynuVAQ
Eduardo Vaquerizo|Una Esfera Perfecta|https://drive.google.com/file/d/0B_yJXv2pEPBwTGhkMXlVbXRnUnc/view?usp=drivesdk&resourcekey=0-XKiuR-K2XCKuKWOZlTDUgQ
Eduardo Vaquerizo|Per Adspera|https://drive.google.com/file/d/0B_yJXv2pEPBwby1QNkJWeTYxTEk/view?usp=drivesdk&resourcekey=0-p4olC06Oo7dfEeIn5FG_eg
Eduardo Vaquerizo|Peor que la Muerte|https://drive.google.com/file/d/0B_yJXv2pEPBwMldnY2hYUnFKTVU/view?usp=drivesdk&resourcekey=0-6Uuw2hln58ty4nbTEr9BSA
Eduardo Vaquerizo|Luna|https://drive.google.com/file/d/0B_yJXv2pEPBwZFRlNFZqcmhHbTg/view?usp=drivesdk&resourcekey=0--5wXliMC5o1OSqyWfYa7oA
Eduardo Vaquerizo|Llorando silencio|https://drive.google.com/file/d/0B_yJXv2pEPBwRFFQQ1I0enpwRTA/view?usp=drivesdk&resourcekey=0-6Nva6NQIfrRjD3K7Vr99lw
Eduardo Vaquerizo|El Regalo de Reyes|https://drive.google.com/file/d/0B_yJXv2pEPBwMTBTVGRUalJPaUE/view?usp=drivesdk&resourcekey=0-37gQZjZnTNo7sJ-6f5vY8A
Eduardo Vaquerizo|Ejercitos|https://drive.google.com/file/d/0B_yJXv2pEPBwTzkzYnNxOWxOQTA/view?usp=drivesdk&resourcekey=0-7IdZBe8dPgFrV8O2RVLoUQ
Hermeticum Votivum|Tabula Maxima Hiperborea|https://drive.google.com/file/d/0B_yJXv2pEPBwa2lMU01NZjFsUGc/view?usp=drivesdk&resourcekey=0-Qj_tSZ5IhKMe3V7FQZegcw
Juan Bautista Alberdi|Viajes Y Descripciones|https://drive.google.com/file/d/0B_yJXv2pEPBwb0dwRUhlUGFfTEk/view?usp=drivesdk&resourcekey=0-_HNGcWSvGM5KpD_X36Xmaw
Juan Bautista Alberdi|Una Entrevista Historica|https://drive.google.com/file/d/0B_yJXv2pEPBwdjJaMWNEQkVFS00/view?usp=drivesdk&resourcekey=0-H9WjlrXgVPsG70M2umIlqQ
Juan Bautista Alberdi|Tobias|https://drive.google.com/file/d/0B_yJXv2pEPBwNmhzTXZxNzYzeDA/view?usp=drivesdk&resourcekey=0-6Vj-fIJaxCuHrK8zoGQTag
Juan Bautista Alberdi|Tobias o la Carcel a la vela|https://drive.google.com/file/d/0B_yJXv2pEPBwNWV4c0pJci03OGs/view?usp=drivesdk&resourcekey=0--sWYrCnNb7j0lceDb3-RtQ
Juan Bautista Alberdi|Reaccion Contra El Españolismo|https://drive.google.com/file/d/0B_yJXv2pEPBwZzlTY1RBYWJiTTQ/view?usp=drivesdk&resourcekey=0-LE7K6jUaPvyPnWgb3ZSvQw
Juan Bautista Alberdi|Predicar en desiertos|https://drive.google.com/file/d/0B_yJXv2pEPBwbG9jYVlib1JqcHM/view?usp=drivesdk&resourcekey=0-FN5FOj6SA2-dirLffdnHjg
Juan Bautista Alberdi|Pensamiento|https://drive.google.com/file/d/0B_yJXv2pEPBwMDJRSzVOZ0JWdkU/view?usp=drivesdk&resourcekey=0-KRKMKlc7lJ_3E-NARSJr3g
Juan Bautista Alberdi|Palabras de un ausente|https://drive.google.com/file/d/0B_yJXv2pEPBwb3VSUDNOZnZ3M2M/view?usp=drivesdk&resourcekey=0-fK6Rc5409FXWkzwqvk6y2w
Juan Bautista Alberdi|La generacion presente a la faz de la generacion pasada|https://drive.google.com/file/d/0B_yJXv2pEPBwUUpVOGFaM3BQams/view?usp=drivesdk&resourcekey=0-fea04mS-dToUivZU-aBGrA
Juan Bautista Alberdi|Ideas para presidir a la confeccion del curso de filosofia contenporanea|https://drive.google.com/file/d/0B_yJXv2pEPBwMGdoaEh4M3E3Tk0/view?usp=drivesdk&resourcekey=0-C3PDlWCe20M5h0FStYWMMQ
Juan Bautista Alberdi|Gigante Amapolas y sus formidables enemigos|https://drive.google.com/file/d/0B_yJXv2pEPBwNloyNVkzOFROajA/view?usp=drivesdk&resourcekey=0-AmlamAwIfCgzXAtIFfyU6w
Juan Bautista Alberdi|El Crimen de la Guerra|https://drive.google.com/file/d/0B_yJXv2pEPBwUEs4MEhndUQyelk/view?usp=drivesdk&resourcekey=0-oXgOcL1HGjRJlokj5FYOCw
Juan Bautista Alberdi|Bases y punto de partida pata la organizacion politica de la Republica A|https://drive.google.com/file/d/0B_yJXv2pEPBwT2tMd0YzZ2VGR1E/view?usp=drivesdk&resourcekey=0-7wSJTkPB2KPk9UJvL38N1A
Hernando Acuña|Sonetos|https://drive.google.com/file/d/0B_yJXv2pEPBwMVdCLXNQRnRlQWM/view?usp=drivesdk&resourcekey=0-XOycDrMkROMm2YDAhGSZXQ
Hernando Acuña|Cuatro Poemas|https://drive.google.com/file/d/0B_yJXv2pEPBwSjJ1Nlh0dF90LWs/view?usp=drivesdk&resourcekey=0-x9JL3XMkJ22b5sJc3xCgsQ
Lloyd Alexander|Cronicas de Prydain 5 _ El Gran Rey|https://drive.google.com/file/d/0B_yJXv2pEPBwZ0dHX2Vxejh6MzA/view?usp=drivesdk&resourcekey=0-BoIXvlqJ5VPD5Ad6amIHQw
Lloyd Alexander|Cronicas de Prydain 4 _ Taran El Vagabundo|https://drive.google.com/file/d/0B_yJXv2pEPBwbVdrNHFQVENTMWM/view?usp=drivesdk&resourcekey=0-lB8Q3GA3wrSLTa2E7H5-Sw
Lloyd Alexander|Cronicas de Prydain 3 _ El Castillo De Llyr|https://drive.google.com/file/d/0B_yJXv2pEPBwbmFwcWpXZ0V2cW8/view?usp=drivesdk&resourcekey=0-_tTlh457EbPcdrMlZ4jPrA
Lloyd Alexander|Cronicas de Prydain 2 _ El Caldero Magico|https://drive.google.com/file/d/0B_yJXv2pEPBwbWoxVFhxYmdSSms/view?usp=drivesdk&resourcekey=0-xJEODvywiKTMGNQqui0njA
Lloyd Alexander|Cronicas de Prydain 1 _ El libro De Los Tres|https://drive.google.com/file/d/0B_yJXv2pEPBwWktRR0xoZl9SamM/view?usp=drivesdk&resourcekey=0-2kkeY9cfaQLIDzXg2fcZJg
